global_active_power,global_reactive_power,voltage,global_intensity,sub_metering_1,sub_metering_2,sub_metering_3,date_time
0.404,0.172,234.41,2.0,0.0,2.0,0.0,2007-04-24 16:36:00
0.184,0.0,237.13,1.0,0.0,0.0,0.0,2007-07-20 06:12:00
0.3,0.112,244.54,1.4,0.0,0.0,0.0,2007-02-26 23:40:00
0.348,0.21,241.4,1.6,0.0,0.0,1.0,2010-04-06 18:21:00
1.35,0.124,237.85,5.6,0.0,0.0,17.0,2007-01-22 11:21:00
1.666,0.074,245.92,6.6,0.0,0.0,19.0,2010-02-13 16:24:00
0.3,0.104,240.25,1.2,0.0,2.0,0.0,2007-11-04 02:40:00
0.318,0.1,240.98,1.4,0.0,0.0,1.0,2009-05-11 12:21:00
1.294,0.052,234.74,5.4,0.0,0.0,17.0,2008-02-28 19:45:00
0.394,0.258,241.73,2.0,0.0,1.0,1.0,2010-03-07 01:26:00
0.354,0.11,245.02,1.6,0.0,0.0,0.0,2009-11-22 07:22:00
1.578,0.164,240.61,7.2,0.0,0.0,18.0,2008-06-20 13:39:00
1.592,0.0,238.8,6.6,0.0,0.0,17.0,2007-09-25 07:14:00
0.348,0.102,240.88,1.4,0.0,0.0,1.0,2010-02-28 17:48:00
0.5,0.104,244.93,2.2,0.0,0.0,0.0,2008-10-01 00:20:00
0.216,0.0,247.19,0.8,0.0,0.0,0.0,2009-03-01 05:09:00
0.172,0.078,236.26,0.8,0.0,1.0,0.0,2007-09-24 13:35:00
2.586,0.1,242.15,11.4,0.0,28.0,0.0,2007-01-23 00:06:00
2.526,0.0,241.99,10.4,0.0,0.0,18.0,2009-08-12 18:17:00
0.082,0.0,242.51,0.2,0.0,0.0,1.0,2008-10-08 07:55:00
5.388,0.402,233.06,23.0,37.0,0.0,16.0,2007-10-11 18:19:00
1.064,0.33,239.36,4.6,0.0,0.0,13.0,2008-01-08 06:16:00
0.434,0.27,246.47,2.0,0.0,1.0,1.0,2009-04-09 22:48:00
1.534,0.218,242.4,6.4,0.0,0.0,19.0,2008-10-05 14:34:00
4.864,0.06,234.51,20.8,0.0,0.0,1.0,2008-05-17 07:06:00
0.25,0.118,242.22,1.2,0.0,0.0,0.0,2009-07-29 07:49:00
1.432,0.068,238.61,6.0,0.0,0.0,18.0,2008-11-29 18:35:00
0.58,0.0,242.19,2.4,0.0,0.0,0.0,2008-03-03 22:53:00
0.414,0.172,241.56,1.8,0.0,0.0,0.0,2008-10-19 04:47:00
0.446,0.196,243.04,2.0,0.0,0.0,0.0,2010-10-20 03:41:00
1.3,0.078,239.63,5.4,0.0,0.0,18.0,2010-09-16 11:18:00
0.876,0.134,240.43,3.6,1.0,0.0,0.0,2009-01-04 20:59:00
0.232,0.112,241.26,1.0,0.0,1.0,0.0,2010-06-27 06:49:00
2.262,0.13,237.14,9.4,0.0,0.0,17.0,2010-11-14 16:46:00
1.638,0.282,243.27,6.8,1.0,0.0,20.0,2009-06-07 23:19:00
1.092,0.086,236.79,4.6,0.0,0.0,0.0,2008-02-14 18:20:00
0.678,0.046,237.02,3.0,0.0,0.0,0.0,2007-02-05 01:33:00
0.22,0.0,244.84,0.8,0.0,0.0,0.0,2008-07-03 03:35:00
4.604,0.046,235.97,19.4,37.0,0.0,17.0,2008-02-22 08:17:00
0.22,0.0,243.57,0.8,0.0,0.0,0.0,2007-03-03 15:55:00
2.906,0.092,241.09,12.0,0.0,0.0,18.0,2007-01-23 17:40:00
0.42,0.048,242.06,2.0,0.0,0.0,0.0,2008-03-11 08:51:00
1.444,0.168,245.53,6.0,0.0,0.0,1.0,2009-04-13 22:18:00
0.946,0.27,242.29,4.0,0.0,0.0,12.0,2010-09-21 18:38:00
0.298,0.0,245.01,1.4,0.0,0.0,0.0,2008-07-04 18:26:00
0.33,0.124,246.9,1.4,0.0,0.0,0.0,2007-11-25 04:14:00
0.198,0.134,241.0,1.0,0.0,0.0,0.0,2007-08-18 06:08:00
0.424,0.116,241.59,1.8,0.0,2.0,1.0,2009-04-14 19:08:00
1.424,0.096,243.77,5.8,0.0,0.0,18.0,2009-03-15 14:06:00
1.458,0.118,240.28,6.0,0.0,1.0,19.0,2010-05-17 12:04:00
0.114,0.0,239.38,0.6,0.0,0.0,0.0,2007-06-14 14:08:00
1.758,0.194,239.33,7.4,0.0,0.0,18.0,2009-04-10 21:57:00
0.082,0.0,241.83,0.2,0.0,0.0,1.0,2008-12-08 19:11:00
0.364,0.198,238.76,1.6,0.0,1.0,0.0,2007-04-03 12:07:00
0.2,0.104,240.21,0.8,0.0,2.0,1.0,2009-09-28 14:48:00
2.388,0.22,233.95,11.0,9.0,0.0,17.0,2007-09-05 19:34:00
2.44,0.198,240.18,10.2,0.0,1.0,18.0,2010-04-10 07:34:00
1.782,0.096,243.97,7.2,0.0,0.0,19.0,2010-05-27 20:14:00
2.188,0.27,240.97,9.0,0.0,2.0,19.0,2009-12-13 16:33:00
0.32,0.098,239.39,1.4,0.0,0.0,1.0,2009-10-31 01:26:00
0.422,0.148,249.08,1.8,0.0,0.0,1.0,2010-04-01 06:05:00
1.728,0.136,237.85,7.2,0.0,4.0,17.0,2007-02-10 13:57:00
1.398,0.178,236.01,5.8,0.0,0.0,0.0,2008-06-03 19:19:00
1.442,0.152,244.99,5.8,0.0,0.0,19.0,2009-03-17 15:10:00
1.388,0.148,238.62,5.8,0.0,0.0,17.0,2007-07-01 00:31:00
1.786,0.182,239.31,7.4,0.0,1.0,18.0,2010-04-21 11:03:00
1.74,0.0,235.95,7.6,0.0,0.0,11.0,2010-11-11 10:29:00
4.674,0.116,241.39,19.8,0.0,37.0,17.0,2007-01-28 00:11:00
1.576,0.318,239.95,6.6,0.0,1.0,17.0,2007-04-19 20:21:00
2.068,0.426,234.46,9.0,1.0,0.0,17.0,2007-06-06 19:45:00
0.292,0.05,244.64,1.2,0.0,0.0,0.0,2008-12-12 05:10:00
1.958,0.304,237.29,8.2,1.0,0.0,17.0,2008-09-11 11:26:00
1.464,0.0,243.71,6.0,2.0,0.0,18.0,2008-04-04 08:19:00
1.184,0.148,243.29,4.8,0.0,2.0,0.0,2010-07-22 22:29:00
0.348,0.078,246.46,1.6,0.0,0.0,1.0,2010-10-29 03:13:00
0.236,0.0,243.49,1.0,0.0,0.0,1.0,2009-05-29 13:19:00
1.19,0.0,238.48,5.0,0.0,0.0,17.0,2007-08-15 12:21:00
3.662,0.0,235.52,15.4,0.0,40.0,17.0,2008-08-01 13:26:00
0.384,0.22,249.08,1.8,0.0,1.0,0.0,2009-02-02 14:55:00
0.29,0.062,238.75,1.2,0.0,0.0,0.0,2007-11-10 12:19:00
0.204,0.0,241.93,0.8,0.0,0.0,0.0,2007-02-11 02:25:00
0.412,0.132,241.81,1.8,0.0,0.0,0.0,2009-01-05 14:54:00
0.3,0.076,240.9,1.2,0.0,2.0,1.0,2010-01-07 04:11:00
0.354,0.15,243.39,1.6,0.0,0.0,1.0,2009-11-10 06:54:00
2.512,0.0,235.89,10.6,0.0,0.0,17.0,2008-02-21 21:27:00
0.37,0.092,237.79,1.6,0.0,1.0,0.0,2008-02-03 12:45:00
0.15,0.0,240.24,0.6,0.0,0.0,1.0,2008-07-21 04:48:00
2.128,0.13,236.67,9.0,0.0,0.0,0.0,2007-08-12 18:00:00
0.304,0.11,242.18,1.4,0.0,1.0,0.0,2007-11-04 02:17:00
0.338,0.236,244.14,1.6,0.0,0.0,1.0,2008-05-18 23:50:00
0.92,0.0,241.6,4.4,0.0,0.0,1.0,2009-06-22 06:47:00
0.416,0.212,240.39,1.8,0.0,1.0,1.0,2008-10-18 04:57:00
0.886,0.216,239.63,3.8,0.0,0.0,12.0,2008-07-22 18:21:00
2.94,0.142,231.05,12.8,0.0,0.0,17.0,2010-12-11 17:34:00
2.076,0.0,238.7,8.6,0.0,0.0,18.0,2007-09-19 07:42:00
0.218,0.0,238.9,0.8,0.0,0.0,0.0,2007-02-26 05:41:00
0.34,0.198,242.59,1.6,0.0,2.0,1.0,2010-06-13 02:49:00
1.314,0.0,240.81,5.4,0.0,0.0,18.0,2010-03-27 14:07:00
0.868,0.0,239.44,3.6,0.0,0.0,0.0,2009-02-16 12:02:00
1.4,0.092,241.15,5.8,0.0,0.0,19.0,2009-10-31 11:15:00
1.208,0.0,241.26,5.0,0.0,0.0,19.0,2009-09-25 14:36:00
0.232,0.0,243.58,1.0,0.0,0.0,0.0,2007-03-16 15:48:00
1.472,0.192,240.19,6.0,0.0,1.0,18.0,2009-10-24 05:27:00
0.216,0.0,241.4,0.8,0.0,0.0,0.0,2007-02-03 12:20:00
0.678,0.204,240.08,2.8,0.0,0.0,0.0,2008-01-03 06:09:00
0.228,0.118,240.58,1.0,0.0,0.0,1.0,2009-07-09 03:24:00
0.326,0.224,242.03,1.6,0.0,0.0,1.0,2008-05-30 04:08:00
0.87,0.394,241.74,3.8,0.0,1.0,0.0,2007-06-26 21:04:00
0.204,0.0,244.54,0.8,0.0,0.0,0.0,2006-12-22 01:59:00
1.52,0.0,236.68,6.8,0.0,0.0,18.0,2007-05-08 10:10:00
0.284,0.074,245.95,1.2,0.0,0.0,0.0,2008-12-28 16:46:00
1.232,0.066,240.4,5.0,0.0,0.0,18.0,2010-09-18 07:52:00
1.446,0.05,239.54,6.0,0.0,0.0,18.0,2008-01-30 09:51:00
2.296,0.0,243.93,10.0,0.0,12.0,19.0,2009-03-29 14:08:00
0.214,0.0,246.43,0.8,0.0,0.0,0.0,2008-12-26 01:18:00
2.032,0.058,245.67,8.2,0.0,0.0,18.0,2007-12-20 16:06:00
0.332,0.0,245.52,1.6,0.0,0.0,0.0,2009-07-01 06:08:00
1.742,0.088,240.51,7.2,0.0,0.0,17.0,2007-11-11 12:52:00
0.296,0.0,236.03,1.2,0.0,1.0,0.0,2007-05-30 15:55:00
0.988,0.0,240.7,4.0,0.0,0.0,0.0,2008-03-04 21:51:00
0.408,0.202,241.57,1.8,0.0,1.0,0.0,2009-12-04 05:38:00
0.08,0.0,238.28,0.2,0.0,0.0,0.0,2008-08-23 10:17:00
1.836,0.0,243.81,7.6,0.0,0.0,18.0,2007-01-16 15:14:00
1.654,0.324,240.24,7.0,0.0,1.0,18.0,2009-04-17 08:53:00
1.42,0.076,243.05,5.8,0.0,1.0,19.0,2010-01-25 10:29:00
0.344,0.108,244.0,1.4,0.0,1.0,0.0,2010-01-11 21:04:00
0.174,0.146,238.0,0.8,0.0,0.0,1.0,2008-08-14 08:07:00
0.332,0.054,239.49,1.4,0.0,1.0,0.0,2010-10-14 04:22:00
0.244,0.136,246.15,1.0,0.0,0.0,0.0,2009-07-09 22:37:00
3.56,0.246,241.17,15.2,0.0,31.0,18.0,2008-11-15 15:11:00
0.45,0.212,239.41,2.0,0.0,1.0,0.0,2009-05-16 12:55:00
0.332,0.07,245.82,1.4,0.0,0.0,0.0,2008-10-02 01:25:00
0.66,0.088,243.94,2.6,0.0,0.0,0.0,2006-12-17 06:45:00
0.138,0.0,241.75,0.6,0.0,0.0,1.0,2009-05-31 18:31:00
2.118,0.296,238.53,9.0,0.0,1.0,0.0,2010-01-18 20:30:00
6.412,0.086,233.58,27.4,36.0,0.0,17.0,2007-04-02 01:17:00
0.38,0.324,240.62,2.2,0.0,1.0,0.0,2007-06-26 12:39:00
5.39,0.35,237.83,22.8,42.0,0.0,18.0,2010-01-24 11:59:00
1.378,0.052,236.44,5.8,1.0,0.0,18.0,2009-10-17 10:14:00
0.298,0.134,243.84,1.4,0.0,0.0,1.0,2009-09-07 12:39:00
0.432,0.218,244.1,2.0,0.0,1.0,1.0,2010-02-22 06:13:00
0.618,0.096,240.86,2.6,0.0,2.0,0.0,2009-04-13 13:33:00
1.068,0.292,241.62,4.6,1.0,2.0,11.0,2010-01-05 15:30:00
1.596,0.246,238.65,6.6,0.0,0.0,18.0,2009-06-28 17:50:00
3.828,0.218,239.26,16.0,39.0,1.0,18.0,2008-07-09 15:55:00
0.426,0.064,238.79,1.8,0.0,0.0,0.0,2010-11-10 18:38:00
0.162,0.0,241.09,0.8,0.0,0.0,0.0,2010-07-07 09:15:00
0.472,0.234,247.23,2.2,0.0,1.0,1.0,2009-04-12 03:35:00
0.11,0.0,242.1,0.6,0.0,0.0,0.0,2007-09-20 05:07:00
0.464,0.098,241.04,2.0,0.0,1.0,0.0,2009-04-22 17:53:00
0.438,0.0,238.29,2.0,0.0,0.0,0.0,2008-09-15 06:35:00
0.5,0.0,239.82,2.0,0.0,0.0,0.0,2008-01-19 23:06:00
0.08,0.0,240.79,0.2,0.0,0.0,1.0,2008-08-13 16:08:00
0.336,0.096,245.29,1.4,0.0,1.0,1.0,2010-09-01 02:03:00
1.422,0.212,239.23,6.0,0.0,0.0,19.0,2009-02-06 09:26:00
0.676,0.09,242.03,2.8,0.0,0.0,0.0,2009-12-03 18:46:00
0.22,0.0,245.88,0.8,0.0,0.0,0.0,2009-03-13 23:36:00
0.218,0.0,241.98,0.8,0.0,0.0,0.0,2007-02-03 12:25:00
0.332,0.0,239.46,1.4,0.0,0.0,0.0,2009-01-05 08:32:00
0.456,0.06,246.76,1.8,0.0,0.0,0.0,2008-12-25 00:07:00
2.592,0.052,241.84,11.0,0.0,0.0,18.0,2009-02-14 08:01:00
2.688,0.224,241.58,11.0,1.0,0.0,19.0,2009-04-25 22:37:00
0.328,0.24,241.21,1.6,0.0,1.0,1.0,2008-07-20 04:21:00
0.684,0.0,242.71,2.8,0.0,0.0,0.0,2009-04-01 10:13:00
0.23,0.108,240.68,1.0,0.0,1.0,0.0,2010-02-08 17:26:00
2.642,0.0,242.91,10.8,0.0,1.0,18.0,2008-05-12 16:06:00
1.782,0.25,238.76,7.4,0.0,0.0,18.0,2009-12-11 07:56:00
1.796,0.0,244.5,7.2,1.0,0.0,19.0,2008-08-04 08:37:00
2.904,0.342,242.17,12.0,39.0,0.0,0.0,2008-11-29 12:37:00
0.33,0.22,244.05,1.6,0.0,1.0,0.0,2010-12-09 07:31:00
0.11,0.0,245.01,0.4,0.0,0.0,0.0,2007-08-15 16:42:00
1.514,0.202,245.6,6.2,0.0,1.0,1.0,2010-10-31 04:39:00
0.146,0.0,234.23,0.6,0.0,0.0,0.0,2007-11-05 00:43:00
0.342,0.238,244.62,1.6,0.0,0.0,1.0,2010-05-08 12:31:00
3.646,0.08,234.97,15.4,0.0,0.0,17.0,2007-03-02 01:19:00
1.148,0.0,232.87,4.8,0.0,0.0,16.0,2007-02-08 14:57:00
0.216,0.14,234.74,1.0,0.0,1.0,0.0,2007-08-13 03:08:00
1.874,0.244,235.65,8.0,0.0,1.0,17.0,2010-11-13 20:01:00
1.468,0.0,242.4,6.0,0.0,0.0,18.0,2008-11-26 12:06:00
4.248,0.168,234.66,18.6,27.0,0.0,18.0,2009-05-12 19:24:00
0.328,0.0,244.1,1.4,0.0,0.0,1.0,2009-09-22 23:56:00
0.168,0.0,239.23,0.8,0.0,0.0,1.0,2010-05-07 04:26:00
1.228,0.0,238.08,5.0,0.0,0.0,18.0,2009-09-22 11:17:00
2.022,0.26,238.68,8.4,0.0,0.0,17.0,2007-06-13 20:08:00
1.758,0.074,234.69,7.4,0.0,0.0,0.0,2008-08-11 18:18:00
0.536,0.104,240.64,2.2,0.0,0.0,1.0,2008-10-07 20:38:00
1.356,0.0,240.71,5.6,0.0,0.0,18.0,2007-04-23 03:13:00
1.698,0.0,241.42,7.0,1.0,0.0,19.0,2008-05-04 14:08:00
0.996,0.342,240.39,4.4,0.0,2.0,1.0,2009-08-25 00:07:00
2.092,0.446,236.54,9.2,0.0,0.0,18.0,2010-06-15 11:21:00
0.316,0.064,234.19,1.6,0.0,0.0,0.0,2007-04-24 10:00:00
1.322,0.066,240.97,5.4,0.0,0.0,18.0,2008-09-19 13:11:00
0.108,0.0,240.43,0.4,0.0,0.0,0.0,2007-08-22 12:12:00
5.866,0.234,236.73,24.8,38.0,0.0,17.0,2007-11-23 21:10:00
0.416,0.096,246.24,1.8,0.0,0.0,0.0,2009-06-03 03:43:00
1.736,0.274,240.65,7.2,0.0,1.0,18.0,2009-07-16 17:29:00
0.328,0.0,243.11,1.4,0.0,0.0,0.0,2007-02-22 15:21:00
1.996,0.206,243.2,8.2,0.0,0.0,19.0,2009-12-31 10:19:00
0.286,0.216,238.66,1.4,0.0,2.0,0.0,2007-09-21 11:38:00
1.668,0.158,241.3,6.8,0.0,2.0,18.0,2010-09-10 20:51:00
0.262,0.062,234.84,1.2,0.0,0.0,0.0,2007-05-26 08:45:00
0.396,0.142,245.72,1.6,0.0,0.0,1.0,2009-12-15 04:29:00
0.21,0.07,240.06,1.0,0.0,0.0,0.0,2009-01-01 13:31:00
0.41,0.108,243.78,1.6,0.0,0.0,0.0,2010-10-17 15:49:00
0.17,0.11,240.26,1.0,0.0,0.0,1.0,2008-08-22 14:00:00
1.854,0.088,241.0,7.6,0.0,0.0,18.0,2009-08-12 08:57:00
5.554,0.264,231.61,24.2,35.0,26.0,17.0,2008-01-22 13:37:00
0.218,0.0,240.98,0.8,0.0,0.0,0.0,2007-01-03 08:31:00
1.504,0.0,241.95,6.2,0.0,0.0,18.0,2007-02-16 01:05:00
1.282,0.05,240.54,5.2,0.0,0.0,17.0,2009-03-26 11:44:00
0.196,0.094,239.62,0.8,0.0,0.0,0.0,2007-07-09 17:06:00
1.058,0.224,238.33,4.4,0.0,0.0,0.0,2009-08-15 21:48:00
0.702,0.096,237.82,3.4,0.0,3.0,0.0,2007-06-26 00:37:00
4.01,0.104,241.45,16.6,39.0,0.0,18.0,2009-03-14 23:48:00
0.75,0.066,240.09,3.8,0.0,0.0,11.0,2007-04-10 04:50:00
0.408,0.072,240.79,1.8,0.0,0.0,1.0,2010-05-28 20:09:00
2.9,0.0,235.33,13.0,0.0,21.0,17.0,2007-09-11 13:15:00
1.386,0.106,240.72,6.0,0.0,0.0,16.0,2010-05-03 22:21:00
2.284,0.232,240.8,10.4,0.0,0.0,18.0,2009-04-28 09:30:00
0.272,0.106,239.58,1.2,0.0,0.0,1.0,2010-05-07 06:45:00
1.338,0.052,242.01,5.4,0.0,0.0,19.0,2010-12-02 13:11:00
1.628,0.098,237.82,6.8,0.0,0.0,0.0,2007-04-12 18:47:00
0.272,0.126,240.7,1.2,0.0,0.0,0.0,2008-01-06 07:49:00
1.11,0.0,233.82,4.6,0.0,0.0,16.0,2007-06-08 01:43:00
0.344,0.098,240.59,1.4,0.0,0.0,1.0,2010-01-03 05:03:00
0.392,0.0,241.95,1.8,0.0,0.0,0.0,2008-12-01 12:54:00
0.3,0.104,242.01,1.4,0.0,0.0,0.0,2010-03-07 04:43:00
0.876,0.092,240.67,3.6,0.0,0.0,11.0,2009-05-14 04:38:00
1.662,0.186,238.81,7.0,1.0,2.0,22.0,2010-03-17 08:44:00
2.636,0.148,239.64,11.0,0.0,1.0,18.0,2009-11-25 20:12:00
0.35,0.058,246.22,1.4,0.0,1.0,1.0,2010-10-02 06:07:00
3.268,0.158,235.79,13.8,0.0,0.0,17.0,2008-11-30 19:55:00
0.392,0.212,241.24,1.8,0.0,1.0,0.0,2008-12-28 21:42:00
0.678,0.122,243.73,2.8,0.0,4.0,0.0,2007-03-27 22:52:00
0.274,0.106,242.69,1.2,0.0,0.0,1.0,2009-09-21 17:34:00
0.242,0.12,239.85,1.0,0.0,1.0,1.0,2008-11-06 15:07:00
0.318,0.07,242.54,1.2,0.0,1.0,0.0,2010-04-20 01:55:00
1.416,0.104,240.52,5.8,0.0,0.0,18.0,2008-04-16 19:34:00
0.898,0.0,246.16,3.6,0.0,0.0,1.0,2010-11-01 18:13:00
1.758,0.168,240.39,7.2,0.0,0.0,18.0,2009-09-15 19:38:00
3.154,0.318,241.45,13.0,40.0,0.0,0.0,2009-01-03 11:29:00
1.504,0.132,238.73,6.2,0.0,0.0,17.0,2007-01-01 18:24:00
0.112,0.0,237.75,0.6,0.0,0.0,0.0,2007-04-05 01:44:00
4.004,0.08,234.1,17.0,0.0,1.0,0.0,2007-01-31 20:51:00
0.414,0.244,245.38,1.8,0.0,0.0,1.0,2010-03-18 03:01:00
0.214,0.0,240.31,0.8,0.0,0.0,0.0,2007-02-03 16:49:00
3.55,0.066,237.48,15.0,0.0,0.0,18.0,2007-11-28 21:29:00
0.122,0.0,240.94,0.6,0.0,0.0,0.0,2007-10-09 13:51:00
1.408,0.052,228.28,6.2,1.0,0.0,16.0,2008-06-02 09:19:00
0.906,0.324,239.88,4.0,0.0,0.0,11.0,2010-07-18 17:10:00
0.294,0.0,239.91,1.2,0.0,0.0,1.0,2009-11-27 21:08:00
0.658,0.086,237.57,2.8,0.0,0.0,0.0,2008-07-01 18:27:00
0.362,0.276,227.17,2.0,0.0,2.0,0.0,2007-07-18 15:40:00
0.394,0.198,238.69,1.8,0.0,1.0,0.0,2007-05-22 06:01:00
1.308,0.0,240.46,5.4,0.0,0.0,18.0,2008-11-10 05:21:00
3.64,0.402,232.29,16.0,0.0,0.0,16.0,2006-12-21 18:24:00
0.372,0.196,240.78,1.8,0.0,1.0,1.0,2009-06-19 18:56:00
0.19,0.0,244.73,0.8,0.0,0.0,1.0,2009-09-21 23:39:00
0.15,0.0,239.31,0.6,0.0,0.0,1.0,2008-07-23 03:20:00
0.404,0.0,244.85,1.8,0.0,0.0,0.0,2008-02-21 16:34:00
0.132,0.0,235.86,0.6,0.0,0.0,0.0,2007-07-27 02:41:00
0.262,0.066,239.93,1.2,0.0,0.0,1.0,2010-12-10 03:40:00
0.284,0.206,243.08,1.4,0.0,1.0,0.0,2009-01-10 03:01:00
0.776,0.136,239.43,3.2,0.0,0.0,0.0,2007-06-13 19:01:00
0.666,0.0,241.02,2.8,0.0,0.0,0.0,2007-02-22 14:32:00
2.414,0.364,238.61,10.2,1.0,0.0,10.0,2008-09-14 21:47:00
0.284,0.23,243.93,1.4,0.0,1.0,1.0,2009-08-20 16:06:00
0.298,0.122,241.98,1.2,0.0,0.0,1.0,2010-06-24 15:37:00
0.368,0.088,243.46,1.6,0.0,0.0,0.0,2008-11-13 04:06:00
1.362,0.0,243.65,5.6,0.0,0.0,19.0,2009-11-26 10:39:00
0.35,0.148,245.99,1.6,0.0,1.0,0.0,2007-02-14 00:03:00
1.394,0.118,246.49,5.8,0.0,0.0,1.0,2010-01-11 00:23:00
1.414,0.112,241.65,5.8,0.0,2.0,18.0,2009-01-05 01:01:00
0.234,0.062,241.42,1.0,0.0,0.0,1.0,2010-07-07 04:50:00
4.428,0.322,237.48,18.6,37.0,2.0,18.0,2009-05-30 23:06:00
1.264,0.0,240.56,5.2,0.0,0.0,17.0,2007-09-06 21:27:00
0.324,0.246,241.74,1.6,0.0,0.0,1.0,2009-07-26 09:29:00
1.3,0.114,238.91,5.4,0.0,0.0,19.0,2008-11-06 09:15:00
0.45,0.08,247.71,1.8,0.0,0.0,0.0,2007-12-16 00:12:00
4.542,0.054,237.67,19.0,0.0,0.0,17.0,2008-07-12 19:02:00
4.23,0.278,238.93,17.6,38.0,0.0,18.0,2008-01-06 15:48:00
0.372,0.076,240.89,1.6,0.0,0.0,1.0,2009-06-05 03:37:00
1.356,0.092,240.53,5.6,0.0,0.0,19.0,2010-06-15 04:39:00
0.254,0.0,246.8,1.0,0.0,0.0,0.0,2008-12-18 03:38:00
1.306,0.05,232.66,5.6,0.0,0.0,16.0,2008-05-01 11:33:00
1.964,0.078,241.38,8.2,0.0,0.0,18.0,2007-01-25 20:31:00
0.336,0.102,244.89,1.4,0.0,2.0,1.0,2010-02-28 12:40:00
2.386,0.0,236.48,10.0,0.0,0.0,17.0,2008-11-24 10:59:00
1.596,0.34,235.55,6.8,0.0,0.0,1.0,2009-01-11 18:43:00
1.624,0.168,239.83,6.8,0.0,1.0,18.0,2009-12-04 08:16:00
0.304,0.094,242.47,1.4,0.0,0.0,0.0,2010-03-09 01:08:00
0.932,0.134,242.0,3.8,0.0,1.0,0.0,2009-09-02 22:00:00
0.648,0.222,242.98,3.0,0.0,0.0,0.0,2008-09-14 23:19:00
1.276,0.056,240.94,5.2,0.0,0.0,19.0,2010-09-20 10:05:00
0.298,0.226,241.11,1.4,0.0,0.0,1.0,2009-09-13 01:37:00
0.32,0.088,244.84,1.4,0.0,0.0,0.0,2009-11-16 03:54:00
1.49,0.05,240.88,6.2,0.0,0.0,18.0,2009-05-15 19:27:00
1.418,0.066,237.9,5.8,1.0,0.0,18.0,2008-03-10 08:21:00
0.26,0.05,242.1,1.2,0.0,0.0,0.0,2008-11-22 01:29:00
5.092,0.224,241.37,21.0,2.0,38.0,18.0,2009-01-18 14:51:00
0.256,0.0,243.73,1.0,0.0,0.0,1.0,2010-02-19 05:47:00
